Generator ID,Status,Production,Min Output,Max Output,Production Cost,Startup Cost,Shutdown Cost,Min Up,Min Down,Max Startup Rate,Max Shutdown Rate,Max Ramp-up Rate,Max Ramp-down Rate
G1,On,110,90,150,10890,30000,3000,3,1,110,130,20,30
G2,Off,0,250,400,16940,45000,12000,5,2,300,330,50,75
G3,On,350,300,580,12410,55000,12000,6,4,330,360,93,140
G4,On,400,350,550,10630,50000,10000,4,3,370,450,67,100
G5,Off,0,420,660,15370,52000,12000,5,4,420,500,80,120
G6,On,660,660,800,20890,38000,8000,3,2,660,750,47,70
G7,On,720,700,930,16830,48000,10000,4,3,750,820,77,115
G8,Off,0,760,1100,21490,40000,10000,2,3,760,900,113,170
G9,On,950,900,1240,20660,53000,9000,6,4,900,1150,113,170
G10,On,1000,1000,1500,24720,60000,14000,5,5,1000,1250,167,250
