Period ID,Hour,Demand
1,00:00:00 AM,14000
2,01:00:00 AM,16000
3,02:00:00 AM,18000
4,03:00:00 AM,18000
5,04:00:00 AM,20800
6,05:00:00 AM,31200
7,06:00:00 AM,28800
8,07:00:00 AM,27200
9,08:00:00 AM,26000
10,09:00:00 AM,24400
11,10:00:00 AM,20800
12,11:00:00 AM,26800
13,12:00:00 PM,28000
14,01:00:00 PM,27200
15,02:00:00 PM,23600
16,03:00:00 PM,28800
17,04:00:00 PM,28400
18,05:00:00 PM,29600
19,06:00:00 PM,31400
20,07:00:00 PM,29200
21,08:00:00 PM,18400
22,09:00:00 PM,16800
23,10:00:00 PM,14800
24,11:00:00 PM,11600
